artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
Taylor Swift,Lover (Remix) [feat. Shawn Mendes],Lover (Remix) [feat. Shawn Mendes],3i9UVldZOE0aD0JnyfAZZ0,0.448,0.603,7,-7.176,1,0.064,0.0,0.0862,0.422,205.272,221307,3,warm_fuzzy_feeling
John Legend,Spotify Singles,Love Me Now - Recorded at Spotify Studios NYC,2pPRgFEENF3LtuxYUPuT24,0.508,0.233,8,-8.311,1,0.0535,0.0,0.111,0.421,85.543,228507,3,warm_fuzzy_feeling
Sara Bareilles,Little Voice,Gravity,4oa14QBfWRDfJy2agySy0L,0.27,0.275,0,-10.357,1,0.0356,0.0,0.146,0.231,168.964,232760,4,warm_fuzzy_feeling
Jessie Ware,Say You Love Me,Say You Love Me,2hcPE11xSLCNHt5PYidj5U,0.387,0.413,7,-8.95,1,0.0559,1.56e-05,0.262,0.249,173.73,257484,3,warm_fuzzy_feeling
John Mayer,XO,XO,7cpCU3Denug5NGZsSpQl8v,0.431,0.377,2,-9.753,1,0.0288,0.0,0.211,0.353,173.67,213627,4,warm_fuzzy_feeling
Angus & Julia Stone,Spotify Sessions,Stay With Me - Live From Spotify Berlin,2GiYPEgOA7hb7sqsEWX8df,0.614,0.101,0,-22.159,1,0.0395,0.0217,0.707,0.155,75.902,174360,4,warm_fuzzy_feeling
Ed Sheeran,+,Kiss Me,0Tel1fmuCxEFV6wBLXsEdk,0.589,0.227,2,-16.67,1,0.0498,0.00469,0.0248,0.182,74.993,280853,4,warm_fuzzy_feeling
Bright Eyes,"I'm Wide Awake, It's Morning",First Day Of My Life,5OiaAaIMYlCZONyDBxqk4G,0.468,0.201,4,-17.024,1,0.0388,8.28e-05,0.0952,0.383,94.422,188800,4,warm_fuzzy_feeling
Adele,19,Make You Feel My Love,7rPLZ8Krm6CZIbraFUlnWZ,0.325,0.18,10,-10.647,1,0.0311,0.000633,0.113,0.0997,72.416,212040,1,warm_fuzzy_feeling
Jack Johnson,In Between Dreams,Better Together,4VywXu6umkIQ2OS0m1I79y,0.868,0.347,5,-9.529,1,0.0536,2e-05,0.11,0.659,110.059,207680,4,warm_fuzzy_feeling
Ellie Goulding,Halcyon Days,How Long Will I Love You - Bonus Track,0ZPfDxZn5O0L84wvPSN2iG,0.512,0.304,0,-9.19,1,0.0318,0.000622,0.118,0.172,126.078,154435,5,warm_fuzzy_feeling
